collection_name,dataset_name,train_path,test_path,dataset_type,datetime_index,split_at,train_type,train_is_normal,input_type,length,dimensions,contamination,num_anomalies,min_anomaly_length,median_anomaly_length,max_anomaly_length,mean,stddev,trend,stationarity,period_size
GutenTAG,sinus-noise-00%.unsupervised,,sinus-noise-00%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,4.45E-08,0.703527189,,,20
GutenTAG,sinus-noise-00%.supervised,sinus-noise-00%/train_anomaly.csv,sinus-noise-00%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,4.45E-08,0.703527189,,,20
GutenTAG,sinus-noise-00%.semi-supervised,sinus-noise-00%/train_no_anomaly.csv,sinus-noise-00%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,4.45E-08,0.703527189,,,20
GutenTAG,sinus-noise-01%.unsupervised,,sinus-noise-01%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.000164989,0.703679713,,,20
GutenTAG,sinus-noise-01%.supervised,sinus-noise-01%/train_anomaly.csv,sinus-noise-01%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.000164989,0.703679713,,,20
GutenTAG,sinus-noise-01%.semi-supervised,sinus-noise-01%/train_no_anomaly.csv,sinus-noise-01%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.000164989,0.703679713,,,20
GutenTAG,sinus-noise-10%.unsupervised,,sinus-noise-10%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,0.001386891,0.710511562,,,20
GutenTAG,sinus-noise-10%.supervised,sinus-noise-10%/train_anomaly.csv,sinus-noise-10%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,0.001386891,0.710511562,,,20
GutenTAG,sinus-noise-10%.semi-supervised,sinus-noise-10%/train_no_anomaly.csv,sinus-noise-10%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,0.001386891,0.710511562,,,20
GutenTAG,sinus-noise-30%.unsupervised,,sinus-noise-30%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.003447817,0.76456623,,,20
GutenTAG,sinus-noise-30%.supervised,sinus-noise-30%/train_anomaly.csv,sinus-noise-30%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.003447817,0.76456623,,,20
GutenTAG,sinus-noise-30%.semi-supervised,sinus-noise-30%/train_no_anomaly.csv,sinus-noise-30%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.003447817,0.76456623,,,20
GutenTAG,sinus-noise-50%.unsupervised,,sinus-noise-50%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.001516226,0.87452718,,,20
GutenTAG,sinus-noise-50%.supervised,sinus-noise-50%/train_anomaly.csv,sinus-noise-50%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.001516226,0.87452718,,,20
GutenTAG,sinus-noise-50%.semi-supervised,sinus-noise-50%/train_no_anomaly.csv,sinus-noise-50%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,-0.001516226,0.87452718,,,20
GutenTAG,ecg-noise-00%.unsupervised,,ecg-noise-00%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.134611896,5.538384752,polynomial,,100
GutenTAG,ecg-noise-00%.supervised,ecg-noise-00%/train_anomaly.csv,ecg-noise-00%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.134611896,5.538384752,polynomial,,100
GutenTAG,ecg-noise-00%.semi-supervised,ecg-noise-00%/train_no_anomaly.csv,ecg-noise-00%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.134611896,5.538384752,polynomial,,100
GutenTAG,ecg-noise-01%.unsupervised,,ecg-noise-01%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.13457234,5.538188099,polynomial,,100
GutenTAG,ecg-noise-01%.supervised,ecg-noise-01%/train_anomaly.csv,ecg-noise-01%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.13457234,5.538188099,polynomial,,100
GutenTAG,ecg-noise-01%.semi-supervised,ecg-noise-01%/train_no_anomaly.csv,ecg-noise-01%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.13457234,5.538188099,polynomial,,100
GutenTAG,ecg-noise-10%.unsupervised,,ecg-noise-10%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.134201267,5.53824189,polynomial,,100
GutenTAG,ecg-noise-10%.supervised,ecg-noise-10%/train_anomaly.csv,ecg-noise-10%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.134201267,5.53824189,polynomial,,100
GutenTAG,ecg-noise-10%.semi-supervised,ecg-noise-10%/train_no_anomaly.csv,ecg-noise-10%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.134201267,5.53824189,polynomial,,100
GutenTAG,ecg-noise-30%.unsupervised,,ecg-noise-30%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.132331029,5.546391473,polynomial,,100
GutenTAG,ecg-noise-30%.supervised,ecg-noise-30%/train_anomaly.csv,ecg-noise-30%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.132331029,5.546391473,polynomial,,100
GutenTAG,ecg-noise-30%.semi-supervised,ecg-noise-30%/train_no_anomaly.csv,ecg-noise-30%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.132331029,5.546391473,polynomial,,100
GutenTAG,ecg-noise-50%.unsupervised,,ecg-noise-50%/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.14350909,5.555577568,polynomial,,100
GutenTAG,ecg-noise-50%.supervised,ecg-noise-50%/train_anomaly.csv,ecg-noise-50%/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.14350909,5.555577568,polynomial,,100
GutenTAG,ecg-noise-50%.semi-supervised,ecg-noise-50%/train_no_anomaly.csv,ecg-noise-50%/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,9.14350909,5.555577568,polynomial,,100
GutenTAG,cbf-position-beginning.unsupervised,,cbf-position-beginning/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,14.6452875,3.331868124,polynomial,,
GutenTAG,cbf-position-beginning.supervised,cbf-position-beginning/train_anomaly.csv,cbf-position-beginning/test.csv,synthetic,FALSE,,supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,14.6452875,3.331868124,polynomial,,
GutenTAG,cbf-position-beginning.semi-supervised,cbf-position-beginning/train_no_anomaly.csv,cbf-position-beginning/test.csv,synthetic,FALSE,,semi-supervised,TRUE,univariate,10000,1,0.01,1,100,100,100,14.6452875,3.331868124,polynomial,,
GutenTAG,cbf-position-middle.unsupervised,,cbf-position-middle/test.csv,synthetic,FALSE,,unsupervised,TRUE,univariate,10000,1,0.01,1,100,100,100,14.57856913,3.760193266,polynomial,,
