collection,dataset,algorithm,AUC-ROC,AUC-PR
Self-Generated,dataset_0.test.csv,CBLOF,0.4857055993968746,0.028073126015186738
Self-Generated,dataset_0.test.csv,COF,0.4253978087535135,0.026626923024602796
Self-Generated,dataset_0.test.csv,KNN,0.38552613680130454,0.022958757482452546
Self-Generated,dataset_0.test.csv,LOF,0.4620216174578591,0.02853869250766093
Self-Generated,dataset_0.test.csv,PS-SVM,0.627943719218887,0.04169803751382538
Self-Generated,dataset_0.test.csv,Sub-LOF,0.4412111676541207,0.040809085099304004
Self-Generated,dataset_0.test.csv,kMeans,0.3748654030533225,0.023947062242904063
Self-Generated,dataset_1.test.csv,CBLOF,0.5078492135095909,0.07889219067119248
Self-Generated,dataset_1.test.csv,COF,0.535942938584448,0.05474728530726767
Self-Generated,dataset_1.test.csv,KNN,0.5724708743576669,0.08410674413110442
Self-Generated,dataset_1.test.csv,LOF,0.5632325213457289,0.034455534269332566
Self-Generated,dataset_1.test.csv,PS-SVM,0.7266245636056956,0.22033136520657082
Self-Generated,dataset_1.test.csv,STAMP,0.6811616260672865,0.11766712144131526
Self-Generated,dataset_1.test.csv,STOMP,0.6811616260672865,0.11766712144131526
Self-Generated,dataset_1.test.csv,Sub-LOF,0.9570261117430929,0.5878731622933298
Self-Generated,dataset_1.test.csv,VALMOD,0.6812149740451627,0.11766957473905171
Self-Generated,dataset_1.test.csv,kMeans,0.9285058643549209,0.5536325656393105
Self-Generated,dataset_10.test.csv,CBLOF,0.6101036442661317,0.0037729497611579703
Self-Generated,dataset_10.test.csv,COF,0.6993413574055499,0.006462608871498691
Self-Generated,dataset_10.test.csv,KNN,0.6853326646606487,0.005378767420048737
Self-Generated,dataset_10.test.csv,LOF,0.5386593112671347,0.004844388957802864
Self-Generated,dataset_10.test.csv,PS-SVM,0.7437579404881312,0.005658964015832927
Self-Generated,dataset_10.test.csv,STAMP,0.9236810431293881,0.020270190595210506
Self-Generated,dataset_10.test.csv,STOMP,0.9236810431293881,0.020270190595210506
Self-Generated,dataset_10.test.csv,Sub-LOF,0.8574122367101303,0.00982754604085797
Self-Generated,dataset_10.test.csv,VALMOD,0.9236944165830826,0.020272096180281782
Self-Generated,dataset_10.test.csv,kMeans,0.481444332998997,0.002767180129186393
Self-Generated,dataset_11.test.csv,CBLOF,0.5911546255163277,0.021419183553268824
Self-Generated,dataset_11.test.csv,COF,0.6139318837191177,0.032259917164225355
Self-Generated,dataset_11.test.csv,KNN,0.5942728548047697,0.0233515825109424
Self-Generated,dataset_11.test.csv,LOF,0.5779085807809212,0.020969548484376745
Self-Generated,dataset_11.test.csv,PS-SVM,0.7652466682253916,0.03766107361866379
Self-Generated,dataset_11.test.csv,STAMP,0.780635959784896,0.030286382305595612
Self-Generated,dataset_11.test.csv,STOMP,0.780635959784896,0.030286382305595612
Self-Generated,dataset_11.test.csv,Sub-LOF,0.830828462317824,0.07708385895114075
Self-Generated,dataset_11.test.csv,VALMOD,0.7806468708596368,0.030287277192181935
Self-Generated,dataset_11.test.csv,kMeans,0.8036240355389292,0.0632622555184465
Self-Generated,dataset_12.test.csv,CBLOF,0.5977878330819508,0.006781750924784217
