Folder,Results
cbf-trend-quadratic,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.47983737373737373, 'AUC-PR': 0.00885522077000486}, {'Algorithm': 'COF', 'AUC-ROC': 0.552940404040404, 'AUC-PR': 0.013983034138660592}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9679797979797979, 'AUC-PR': 0.12622381477852}, {'Algorithm': 'KNN', 'AUC-ROC': 0.2863449494949495, 'AUC-PR': 0.006860990054829706}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5285797979797979, 'AUC-PR': 0.018203894359703317}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8748868686868687, 'AUC-PR': 0.03542589218946173}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.8051373737373737, 'AUC-PR': 0.03303591163621228}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8051373737373737, 'AUC-PR': 0.03303591163621228}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9950262626262626, 'AUC-PR': 0.7573170694750652}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.8052999999999999, 'AUC-PR': 0.033044597829748876}]"
sinus-noise-00%,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.2962121212121212, 'AUC-PR': 0.007074136955291454}, {'Algorithm': 'COF', 'AUC-ROC': 5.0505050505023075e-05, 'AUC-PR': 0.005}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9982717171717173, 'AUC-PR': 0.751175781517458}, {'Algorithm': 'KNN', 'AUC-ROC': 5.0505050505023075e-05, 'AUC-PR': 0.005}, {'Algorithm': 'LOF', 'AUC-ROC': 0.16469696969696968, 'AUC-PR': 0.005973715651135006}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.4587727272727273, 'AUC-PR': 0.3138061123848546}, {'Algorithm': 'STAMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9867070707070706, 'AUC-PR': 0.24674268004111335}]"
rw-trend-linear,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6268242424242425, 'AUC-PR': 0.016893428996359698}, {'Algorithm': 'COF', 'AUC-ROC': 0.46556767676767674, 'AUC-PR': 0.008876884561387754}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999868686868687, 'AUC-PR': 0.9987127483814884}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6686393939393939, 'AUC-PR': 0.018466197458246673}, {'Algorithm': 'LOF', 'AUC-ROC': 0.46465707070707074, 'AUC-PR': 0.008768278390927366}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9437313131313131, 'AUC-PR': 0.23293191241215955}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.806460606060606, 'AUC-PR': 0.220346879225243}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.806460606060606, 'AUC-PR': 0.220346879225243}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9999848484848486, 'AUC-PR': 0.9985260714639583}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.806460606060606, 'AUC-PR': 0.220346879225243}]"
sinus-channels-single-of-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.8817262626262626, 'AUC-PR': 0.7314682895999471}, {'Algorithm': 'COF', 'AUC-ROC': 0.8847626262626264, 'AUC-PR': 0.7328235364199629}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9998828282828283, 'AUC-PR': 0.9887371496525907}, {'Algorithm': 'KNN', 'AUC-ROC': 0.8559777777777777, 'AUC-PR': 0.7349368289980065}, {'Algorithm': 'LOF', 'AUC-ROC': 0.8873949494949495, 'AUC-PR': 0.735381705975972}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.98670202020202, 'AUC-PR': 0.8303657537901598}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.8241878787878788, 'AUC-PR': 0.026171368524416205}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8241878787878788, 'AUC-PR': 0.026171368524416205}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9997868686868687, 'AUC-PR': 0.9792098613989287}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.8242474747474747, 'AUC-PR': 0.026177299000085516}]"
ecg-same-count-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5090831632653061, 'AUC-PR': 0.02148261580835937}, {'Algorithm': 'COF', 'AUC-ROC': 0.5115852040816327, 'AUC-PR': 0.022654442792073768}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999357142857143, 'AUC-PR': 0.9968413476252824}, {'Algorithm': 'KNN', 'AUC-ROC': 0.493052806122449, 'AUC-PR': 0.019808254984645727}, {'Algorithm': 'LOF', 'AUC-ROC': 0.48228061224489793, 'AUC-PR': 0.020559055908932367}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8993836734693877, 'AUC-PR': 0.44354698844647555}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.989294387755102, 'AUC-PR': 0.5050621346223725}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.989294387755102, 'AUC-PR': 0.5050614987609028}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9984642857142858, 'AUC-PR': 0.9149703152420037}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9911744897959183, 'AUC-PR': 0.5362369374803063}]"
sinus-channels-single-of-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9322565656565657, 'AUC-PR': 0.757233408924134}, {'Algorithm': 'COF', 'AUC-ROC': 0.9239272727272727, 'AUC-PR': 0.7489635909921076}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.999130303030303, 'AUC-PR': 0.920246571094683}, {'Algorithm': 'KNN', 'AUC-ROC': 0.9293863636363636, 'AUC-PR': 0.769100564812342}, {'Algorithm': 'LOF', 'AUC-ROC': 0.9328777777777778, 'AUC-PR': 0.7688568337346962}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9996262626262626, 'AUC-PR': 0.9701270836330276}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7949939393939394, 'AUC-PR': 0.023697684209490092}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7949939393939394, 'AUC-PR': 0.023697684209490092}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9981333333333333, 'AUC-PR': 0.8176073546458342}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7957040404040404, 'AUC-PR': 0.02375568323507629}]"
ecg-same-count-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5052324210526316, 'AUC-PR': 0.05073916393285272}, {'Algorithm': 'COF', 'AUC-ROC': 0.4941323157894737, 'AUC-PR': 0.05156385402849467}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9998254736842105, 'AUC-PR': 0.996689087470869}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5283868421052631, 'AUC-PR': 0.05298256490204744}, {'Algorithm': 'LOF', 'AUC-ROC': 0.507985052631579, 'AUC-PR': 0.0543834830378654}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9040252631578946, 'AUC-PR': 0.5281878853603352}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9817861052631579, 'AUC-PR': 0.5749394907498699}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9817861052631579, 'AUC-PR': 0.5749394907498699}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9631372631578947, 'AUC-PR': 0.3725070743238838}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9817675789473684, 'AUC-PR': 0.5749000399373395}]"
sinus-type-mean,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.7992070707070706, 'AUC-PR': 0.508960623535526}, {'Algorithm': 'COF', 'AUC-ROC': 0.7388999999999999, 'AUC-PR': 0.20989129967727366}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9998141414141414, 'AUC-PR': 0.9760270731012557}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7992565656565658, 'AUC-PR': 0.5104764265968683}, {'Algorithm': 'LOF', 'AUC-ROC': 0.7296989898989898, 'AUC-PR': 0.5048176467738054}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9952020202020202, 'AUC-PR': 0.52890464169283}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.8240858585858587, 'AUC-PR': 0.2736521819242237}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8240858585858587, 'AUC-PR': 0.2736521819242237}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9930979797979798, 'AUC-PR': 0.3965489530196474}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.8342858585858586, 'AUC-PR': 0.27349330664128657}]"
sinus-same-count-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5192908163265306, 'AUC-PR': 0.02043289173165312}, {'Algorithm': 'COF', 'AUC-ROC': 0.48173341836734695, 'AUC-PR': 0.018850576369325293}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9976627551020408, 'AUC-PR': 0.8789019849540308}, {'Algorithm': 'KNN', 'AUC-ROC': 0.4512344387755102, 'AUC-PR': 0.020180810538760134}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5033209183673469, 'AUC-PR': 0.019746217433607365}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9801602040816326, 'AUC-PR': 0.8113210201368514}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7445316326530612, 'AUC-PR': 0.03731198414923363}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7445316326530612, 'AUC-PR': 0.03731198414923363}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9983785714285713, 'AUC-PR': 0.9074859792946838}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7441780612244898, 'AUC-PR': 0.03727624719989418}]"
rw-trend-quadratic,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5084909090909091, 'AUC-PR': 0.013564038798635839}, {'Algorithm': 'COF', 'AUC-ROC': 0.6141757575757576, 'AUC-PR': 0.2411508203857698}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999717171717172, 'AUC-PR': 0.9972650375105568}, {'Algorithm': 'KNN', 'AUC-ROC': 0.3807934343434344, 'AUC-PR': 0.17587907213391563}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6181787878787879, 'AUC-PR': 0.26546453847792534}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7868636363636363, 'AUC-PR': 0.02149315732311797}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.8254050505050503, 'AUC-PR': 0.058497936895440694}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8254050505050505, 'AUC-PR': 0.058497936895440694}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9999525252525253, 'AUC-PR': 0.9954146828120158}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.8254050505050505, 'AUC-PR': 0.0584979368954407}]"
