collection,dataset,ROC_AUC,PR_AUC,RANGE_PR_AUC,AVERAGE_PRECISION,overall_time
NAB,occupancy_6005,0.3018591984,0.08521185740000001,0.16327208799999998,0.0791879952,12.6374555829
NASA-SMAP,F-1,0.3369239936,0.012886687800000001,0.0307357015,0.0130360228,45.839839390600005
KDD-TSAD,161_UCR_Anomaly_WalkingAceleration1,0.362930997,0.028030832100000003,0.0646953765,0.0282457213,25.2936246167
KDD-TSAD,053_UCR_Anomaly_DISTORTEDWalkingAceleration1,0.3891474351,0.0283882222,0.0647657198,0.0286694563,26.800846453
NASA-MSL,P-15,0.3932039976,0.10636141399999999,0.09061058159999999,0.1070645372,11.679204368399999
NAB,elb_request_count_8c0756,0.42946325519999995,0.17224454220000002,0.1795755954,0.1633858734,19.5914957293
GutenTAG,cbf-type-trend,0.4534621213,0.0091292509,0.0202565874,0.00925461,44.7658024089
GutenTAG,poly-combined-diff-2,0.45681715430000003,0.1726001562,0.1987991481,0.1729553073,31.4050874243
NAB,ec2_cpu_utilization_ac20cd,0.4602347576,0.17147235160000002,0.162063581,0.1724088175,15.392425679299999
NAB,speed_t4013,0.4849555457,0.18322496500000002,0.1739600133,0.1716212026,13.361938547900001
NAB,occupancy_t4013,0.4908539554,0.19306534590000002,0.2062777627,0.19367446910000002,10.8540397644
NASA-SMAP,T-3,0.4954791607,0.26507525730000003,0.30733231390000004,0.25844351790000003,24.0552571303
NormA,Discords_marotta_valve_tek_16,0.4975088839,0.026271953600000002,0.0384791694,0.0259954257,28.422881244299997
NASA-SMAP,P-1,0.4976180929,0.1422166123,0.1525802189,0.14589119379999999,46.2563212847
NAB,speed_7578,0.5030479381,0.3064009057,0.3142486937,0.275089308,6.4649695869
NAB,exchange-3_cpc_results,0.5040617257,0.2207621925,0.22749949110000003,0.22205584250000002,9.8637252093
NASA-MSL,F-7,0.5112292889,0.10999278800000001,0.11950152139999999,0.10456993620000002,22.247121739399997
NAB,ec2_cpu_utilization_fe7f93,0.525944783,0.1232683746,0.1206570487,0.1240626383,17.1860323198
NAB,speed_6005,0.5292917563999999,0.1401366251,0.1951336253,0.1355549473,10.569505573
NAB,ec2_cpu_utilization_825cc2,0.5378280081,0.21575139179999997,0.234741813,0.2164825171,15.8654912949
KDD-TSAD,019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,0.538340202,0.055858412700000006,0.026697673100000003,0.05728534639999999,41.0621342835
NAB,rogue_agent_key_hold,0.5395777342,0.1617456722,0.1781351388,0.13277380430000002,10.5030851365
GutenTAG,poly-type-mean,0.5474083838,0.21980466989999997,0.16013227459999999,0.2204186273,35.2310978408
